industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std,hl_days,rho,kappa,n_hl
IT设备,002152.SZ,300857.SZ,835,1.3221330371383693,0.3475454150158231,-4.595878316478364,0.0001314481136689,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-4.597635028350732,0.0008425733341762,-3.909619976306725,-3.3434660684114577,-3.04953928224327,0.0998402466549834,20.24252589763264,0.9663374980966509,-0.03366250190334911,834
IT设备,000977.SZ,000997.SZ,964,-0.0466021746895357,1.291418576000754,-4.093815637224646,0.0009915742034334,-3.4371658366910216,-2.8645490899304784,-2.5683722036989813,-4.096279974426937,0.0052098900477555,-3.907848842327057,-3.3424822171864705,-3.0488570867152123,0.1344601724189595,23.54459010360935,0.9709893642122094,-0.029010635787790576,963
IT设备,000997.SZ,603019.SH,970,1.2448846045498565,0.4192929956362468,-3.816672941359804,0.0027412621747421,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-3.818707055201235,0.0127970120837551,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.0915276657889153,27.260250583954893,0.9748935153816736,-0.025106484618326375,969
IT设备,002152.SZ,688475.SH,245,1.187126320022307,0.361103453751958,-3.7350079773156697,0.0036468310069522,-3.457437824930831,-2.873459364726563,-2.573122099570008,-3.743142672135901,0.0161120620818706,-3.941887974334856,-3.361285996371943,-3.0618776538564902,0.0403592384640999,5.896425151960458,0.8890926776459005,-0.11090732235409956,244
IT设备,002152.SZ,002180.SZ,961,3.005110971198027,-0.1875214290260711,-3.612841204430014,0.0055202240740916,-3.4371943720994165,-2.8645616735407,-2.568378906211183,-3.614452313282333,0.0235105388175508,-3.9078846082899306,-3.3425020909288192,-3.0488708680555554,0.1268495721659514,29.684972507324836,0.9769204006391095,-0.023079599360890577,960
IT设备,002152.SZ,603019.SH,970,0.8245442490706552,0.4352281771176107,-3.5910794524989833,0.0059338775039645,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-3.5929648867246464,0.0249969286801848,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.0996066512807674,28.250712073210398,0.9757629853531896,-0.02423701464681041,969
IT设备,000997.SZ,300857.SZ,835,1.815679221232787,0.2996628066551556,-3.401391247861606,0.0109115353991613,-3.4382246287341967,-2.86501591901187,-2.568620866925402,-3.40280107804909,0.0420403075030802,-3.909619976306725,-3.3434660684114577,-3.04953928224327,0.1094449620082571,30.25512010787109,0.9773503645080952,-0.022649635491904838,834
IT设备,000977.SZ,603019.SH,964,0.6024973662567081,0.8181109360026193,-3.2119744381895843,0.0193019307036133,-3.4371943720994165,-2.8645616735407,-2.568378906211183,-3.2138171007613217,0.0676473632060703,-3.907848842327057,-3.3424822171864705,-3.0488570867152123,0.1208474367206933,35.64472862092448,0.9807418596574937,-0.01925814034250623,963
IT设备,300857.SZ,603019.SH,835,0.7746338684770508,0.619236723443525,-3.199593922022898,0.0200081966421317,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-3.2023112285109603,0.0695421380437624,-3.909619976306725,-3.3434660684114577,-3.04953928224327,0.2104986817873714,38.94188301475533,0.982357946785658,-0.017642053214342014,834
IT设备,000997.SZ,002152.SZ,970,1.239423437513362,0.6251020950748858,-3.1477118391542622,0.0232179366226116,-3.4371445907959832,-2.864539720789528,-2.5683672133480093,-3.148091639291065,0.0790460148398483,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.095955536317422,37.77873907087516,0.981819744811821,-0.018180255188179048,969
IT设备,002152.SZ,002236.SZ,970,1.364843214342144,0.3396155577299318,-3.1255383287216487,0.0247200633243554,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-3.127374947659833,0.0829358336815851,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1174671539954592,35.37417039535209,0.980596002736079,-0.019403997263920947,969
IT设备,000938.SZ,000977.SZ,964,0.5305560206506819,0.7587572315852453,-3.0323792119670605,0.0319792469315757,-3.4371587399783072,-2.8645459603872903,-2.568370536787406,-3.0345495282896766,0.1022197027217261,-3.907848842327057,-3.3424822171864705,-3.0488570867152123,0.1130399557396172,33.05262635261683,0.9792473459380562,-0.02075265406194377,963
IT设备,000997.SZ,002180.SZ,961,3.113315756691753,-0.1157885219220973,-2.936534065784538,0.0412615504351454,-3.437180074590612,-2.864555368607133,-2.5683755479600694,-2.9383712982717074,0.1255909658751405,-3.9078846082899306,-3.3425020909288192,-3.0488708680555554,0.1255222560709764,36.376230284002496,0.9811254497708458,-0.018874550229154137,960
IT设备,000977.SZ,300857.SZ,835,2.2648708682808616,0.3916781925054065,-2.912624941241498,0.0438994625791906,-3.4382246287341967,-2.86501591901187,-2.568620866925402,-2.913677462776352,0.1321760103227022,-3.909619976306725,-3.3434660684114577,-3.04953928224327,0.1844513505962862,42.0524970117649,0.9836521978851526,-0.016347802114847446,834
IT设备,000066.SZ,002415.SZ,970,1.1052128485971853,0.4040555952612673,-2.8764562458213847,0.0481551153032132,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-2.878219677467943,0.1420605693675666,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1597377354835374,42.39133218184386,0.9837818009482084,-0.016218199051791598,969
