industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std,hl_days,rho,kappa,n_hl,score
元器件,000100.SZ,003031.SZ,717,3.439333532110809,-0.4924293484089054,-5.126195382685952,1.241471082289495e-05,-3.439516060164992,-2.8655850998755263,-2.5689240826597173,-5.127793598187044,9.5195278068928e-05,-3.911801348350551,-3.3446769683374424,-3.05037876938922,0.1298319517374421,14.779494274688345,0.9541835277905965,-0.0458164722094036,716,0.25484876278051694
电气设备,600580.SH,688349.SH,374,1.049190536144879,0.3735583904887827,-4.357912146704517,0.0003520968402621,-3.4483935212959844,-2.8694912343676497,-2.571005879151811,-4.3648031451851885,0.0020248211709539,-3.926042639995975,-3.352560005965686,-3.0558400595849893,0.0506364484632534,9.610562792189024,0.9304160060588256,-0.0695839939411745,373,0.25386149441097194
电气设备,600406.SH,688248.SH,492,3.1290020415632886,-0.0220728554978352,-4.532208205357162,0.0001719034220353,-3.443738629041708,-2.867444458865948,-2.5699148492415413,-4.535419516408396,0.0010704126332811,-3.9188843647570737,-3.348602497210481,-3.0530991643887324,0.0682291958319822,10.85863129089031,0.9381609536313328,-0.0618390463686673,491,0.25048833217155225
影视音像,002739.SZ,300413.SZ,965,1.186478107970192,0.4032349360670835,-5.493851899933882,2.1452610655308823e-06,-3.4371658366910216,-2.8645490899304784,-2.5683722036989813,-5.494497081460069,1.838289088284427e-05,-3.90783696996436,-3.342475620125342,-3.048852512009091,0.0993207560179019,19.038938303085637,0.964247939307306,-0.035752060692694,964,0.23631921607092407
港口,000582.SZ,600018.SH,970,2.9274900422789187,-0.5834356903124609,-5.285997860804405,5.853440183914671e-06,-3.437137538234527,-2.864536610694542,-2.568365556798649,-5.288821906289174,4.68367847950424e-05,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.097589123578534,17.847279851995324,0.9619068204295806,-0.0380931795704193,969,0.22971022659979048
多元金融,000958.SZ,600816.SH,916,1.383127426715493,0.0715928279919528,-4.716157102064792,7.84641926251803e-05,-3.437556419863556,-2.8647213198889023,-2.5684639415529524,-4.717735698740325,0.0005254667903588,-3.908449335005524,-3.342815854459673,-3.049088440084804,0.0733301598766966,13.640374394244354,0.9504536831529034,-0.0495463168470966,915,0.2240007419198723
水务,000598.SZ,601158.SH,970,0.2284118178874505,0.858457147055181,-4.68768232313337,8.875257652042361e-05,-3.4371587399783072,-2.8645459603872903,-2.568370536787406,-4.687839008042019,0.0005917365299634,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.0397715781557077,13.44878915111532,0.9497658995549684,-0.0502341004450315,969,0.22340083903366625
生物制药,000403.SZ,603087.SH,854,0.9486934629390196,0.4952469939425066,-4.9394743896844115,2.9202027591127035e-05,-3.438039434877692,-2.8649342774762423,-2.5685773775887872,-4.941321822001346,0.0002107628581784,-3.9093253514731128,-3.3433024488014853,-3.0494258367474836,0.0998574375259433,15.617804396113558,0.9565886064899836,-0.0434113935100164,853,0.22122091660939502
多元金融,000563.SZ,600390.SH,970,0.1527146952018968,0.5897380916433839,-4.8056742895411535,5.3042798252656234e-05,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-4.807361735661525,0.0003662761230686,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.0370496541592919,14.69491304921063,0.9539259869322182,-0.0460740130677818,969,0.21893663128771867
水运,600026.SH,601872.SH,970,-0.7219816195636493,1.7964004465918864,-5.060986303541358,1.678520475946506e-05,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-5.063042567965065,0.0001258652556301,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1333882360687082,16.848354077636206,0.9596944275599842,-0.0403055724400157,969,0.21851281753170873
